division,year_clean,total_inches,state_grouped,position_grouped
I,freshman,68.0,other,guard
I,senior,72.0,international,guard
I,freshman,68.0,ky,guard
I,graduate student,70.0,pa,guard
I,freshman,74.0,international,forward
I,graduate student,69.0,ky,guard
I,graduate student,72.0,md,guard
I,freshman,76.0,international,center
I,junior,68.0,pa,guard
I,senior,70.0,tx,forward
I,senior,72.0,international,guard
I,sophomore,71.0,pa,guard
I,fifth year,72.0,la,forward
I,senior,68.0,ny,guard
I,freshman,68.0,pa,guard
I,senior,73.0,nj,forward
I,fifth year,75.0,international,forward
I,sophomore,68.0,ma,guard
I,freshman,72.0,va,guard
I,senior,70.0,ny,guard
I,junior,73.0,international,forward
I,sophomore,73.0,international,forward
I,junior,74.0,international,forward
I,senior,72.0,international,guard
I,senior,76.0,ny,center
I,sophomore,74.0,international,forward
I,junior,67.0,ky,guard
I,sophomore,73.0,international,forward
I,senior,69.0,tn,guard
I,junior,71.0,tn,forward
I,freshman,72.0,tn,guard
I,junior,66.0,fl,guard
I,freshman,70.0,in,guard
I,fifth year,76.0,il,center
I,fifth year,69.0,tn,guard
I,sophomore,68.0,mo,guard
I,freshman,76.0,ar,center
I,sophomore,73.0,mo,forward
I,senior,75.0,tn,forward
I,graduate student,77.0,ga,center
I,graduate student,66.0,nc,guard
I,freshman,72.0,international,guard
I,freshman,72.0,ga,forward
I,sophomore,66.0,il,guard
I,freshman,69.0,fl,guard
I,freshman,75.0,ga,forward
I,sophomore,70.0,fl,guard
I,sophomore,74.0,fl,forward
I,junior,70.0,ga,guard
I,sophomore,75.0,ga,forward
I,freshman,71.0,fl,guard
I,graduate student,72.0,ga,forward
I,junior,72.0,international,forward
I,senior,68.0,ny,guard
I,junior,73.0,international,guard
I,junior,66.0,international,guard
I,graduate student,70.0,in,guard
I,graduate student,70.0,al,guard
I,sophomore,75.0,mo,forward
I,freshman,71.0,mo,guard
I,freshman,73.0,mo,guard
I,junior,75.0,mo,center
I,freshman,75.0,tx,forward
I,junior,76.0,mo,forward
I,senior,73.0,mo,forward
I,junior,71.0,pa,forward
I,freshman,71.0,va,forward
I,sophomore,71.0,va,guard
I,graduate student,67.0,oh,guard
I,junior,65.0,pa,guard
I,freshman,69.0,pa,guard
I,senior,70.0,va,guard
I,sophomore,70.0,md,guard
I,freshman,73.0,va,forward
I,junior,65.0,md,guard
I,freshman,67.0,pa,guard
I,sophomore,72.0,pa,forward
I,graduate student,69.0,va,guard
I,sophomore,68.0,in,guard
I,sophomore,78.0,international,center
I,sophomore,70.0,tn,guard
I,junior,66.0,ky,guard
I,senior,72.0,international,forward
I,sophomore,68.0,tn,guard
I,junior,75.0,international,forward
I,freshman,68.0,tn,guard
I,freshman,72.0,tn,guard
I,junior,75.0,international,forward
I,senior,71.0,tn,guard
I,junior,72.0,tn,forward
I,freshman,74.0,oh,forward
I,freshman,76.0,tn,center
I,senior,67.0,wa,guard
I,sophomore,71.0,ca,guard
I,freshman,66.0,other,guard
I,freshman,68.0,ca,guard
I,freshman,66.0,id,guard
I,freshman,74.0,id,forward
I,junior,72.0,wa,guard
I,sophomore,71.0,ca,guard
I,junior,72.0,international,forward
I,graduate student,72.0,az,forward
I,freshman,73.0,az,forward
I,sophomore,73.0,wa,forward
I,sophomore,69.0,or,guard
I,sophomore,66.0,ok,guard
I,junior,64.0,il,guard
I,junior,72.0,co,guard
I,junior,65.0,ca,guard
I,junior,72.0,ca,forward
I,freshman,71.0,ky,forward
I,junior,66.0,ca,guard
I,junior,71.0,ca,guard
I,sophomore,71.0,other,forward
I,graduate student,75.0,ca,forward
I,sophomore,75.0,or,forward
I,sophomore,66.0,nj,guard
I,sophomore,69.0,pa,guard
I,sophomore,70.0,pa,guard
I,sophomore,72.0,ct,guard
I,sophomore,74.0,nj,forward
I,freshman,73.0,ma,forward
I,senior,71.0,pa,guard
I,senior,73.0,ny,forward
I,junior,76.0,other,forward
I,freshman,70.0,international,guard
I,junior,72.0,pa,guard
I,junior,71.0,nj,guard
I,freshman,72.0,pa,forward
I,freshman,72.0,pa,guard
I,junior,68.0,nj,guard
I,senior,63.0,mo,guard
I,freshman,69.0,il,guard
I,junior,65.0,ga,guard
I,junior,74.0,tx,forward
I,sophomore,70.0,mo,forward
I,sophomore,72.0,mo,forward
I,freshman,68.0,il,guard
I,senior,72.0,ms,forward
I,sophomore,70.0,mo,guard
I,sophomore,67.0,mo,guard
I,sophomore,77.0,tn,center
I,junior,68.0,in,guard
I,junior,70.0,ar,forward
I,senior,71.0,international,guard
I,freshman,79.0,az,forward
I,freshman,69.0,oh,guard
I,fifth year,69.0,international,guard
I,senior,67.0,tx,guard
I,fifth year,74.0,ga,forward
I,junior,69.0,ca,guard
I,sophomore,80.0,international,center
I,freshman,71.0,az,guard
I,freshman,75.0,oh,forward
I,freshman,67.0,mn,guard
I,freshman,70.0,ny,guard
I,freshman,68.0,ny,guard
I,freshman,67.0,nj,guard
I,sophomore,71.0,ny,forward
I,junior,68.0,ct,guard
I,junior,67.0,nj,guard
I,graduate student,73.0,nj,center
I,junior,72.0,international,forward
I,sophomore,67.0,ma,guard
I,sophomore,73.0,nj,forward
I,sophomore,67.0,ca,guard
I,junior,73.0,ca,forward
I,sophomore,70.0,nj,guard
I,sophomore,73.0,va,forward
I,freshman,69.0,nj,guard
I,sophomore,73.0,international,guard
I,senior,66.0,pa,guard
I,freshman,71.0,il,guard
I,junior,71.0,ma,guard
I,junior,76.0,international,forward
I,freshman,72.0,nj,guard
I,senior,75.0,ma,center
I,freshman,69.0,ca,guard
I,senior,69.0,nj,guard
I,freshman,76.0,international,forward
I,senior,73.0,nh,forward
I,freshman,75.0,ca,center
I,sophomore,70.0,pa,guard
I,senior,69.0,ca,guard
I,junior,69.0,international,guard
I,senior,67.0,oh,guard
I,junior,72.0,other,forward
I,junior,72.0,international,guard
I,senior,68.0,international,guard
I,senior,72.0,la,forward
I,graduate student,68.0,fl,guard
I,freshman,67.0,wv,guard
I,freshman,70.0,pa,guard
I,senior,69.0,mi,guard
I,junior,74.0,international,forward
I,sophomore,72.0,oh,forward
I,junior,74.0,oh,forward
I,freshman,70.0,tn,guard
I,junior,73.0,md,forward
I,freshman,76.0,international,forward
I,sophomore,75.0,nj,forward
I,senior,71.0,ny,guard
I,freshman,74.0,il,forward
I,senior,68.0,other,guard
I,junior,69.0,ca,guard
I,senior,77.0,co,forward
I,sophomore,76.0,md,forward
I,freshman,70.0,nj,guard
I,senior,71.0,nj,guard
I,junior,72.0,md,guard
I,sophomore,69.0,tn,guard
I,senior,75.0,ma,guard
I,sophomore,74.0,wa,forward
I,sophomore,69.0,oh,guard
I,junior,71.0,ma,guard
I,sophomore,71.0,ny,guard
I,senior,70.0,other,guard
I,sophomore,70.0,ma,guard
I,graduate student,73.0,ia,forward
I,senior,72.0,ma,guard
I,junior,72.0,nj,guard
I,sophomore,70.0,ia,guard
I,freshman,70.0,il,guard
I,sophomore,75.0,ny,forward
I,sophomore,72.0,me,forward
I,freshman,69.0,international,guard
I,sophomore,72.0,in,guard
I,freshman,69.0,ct,guard
I,fifth year,70.0,in,guard
I,senior,71.0,mi,guard
I,fifth year,72.0,mi,guard
I,sophomore,73.0,ny,guard
I,senior,66.0,international,guard
I,freshman,72.0,fl,guard
I,freshman,76.0,in,forward
I,junior,73.0,in,guard
I,senior,74.0,wi,forward
I,senior,76.0,mo,forward
I,freshman,74.0,md,guard
I,sophomore,67.0,fl,guard
I,senior,74.0,ar,forward
I,junior,69.0,ok,guard
I,junior,73.0,ar,guard
I,sophomore,74.0,ok,guard
I,freshman,69.0,ok,guard
I,freshman,71.0,ar,guard
I,senior,67.0,ar,guard
I,sophomore,77.0,ar,guard
I,freshman,76.0,ar,forward
I,senior,73.0,mn,guard
I,senior,68.0,md,guard
I,sophomore,75.0,ok,forward
I,freshman,73.0,international,forward
I,junior,65.0,pa,guard
I,freshman,64.0,international,guard
I,sophomore,74.0,oh,center
I,freshman,68.0,international,guard
I,freshman,74.0,international,forward
I,sophomore,70.0,international,guard
I,freshman,68.0,md,guard
I,sophomore,72.0,international,forward
I,junior,73.0,international,forward
I,sophomore,70.0,ca,guard
I,sophomore,68.0,international,guard
I,freshman,72.0,ny,guard
I,freshman,75.0,pa,guard
I,senior,71.0,international,guard
I,junior,72.0,la,guard
I,senior,74.0,pa,center
I,senior,72.0,ga,guard
I,graduate student,71.0,nh,guard
I,junior,75.0,nc,forward
I,graduate student,73.0,nj,forward
I,senior,66.0,va,guard
I,senior,63.0,other,guard
I,graduate student,74.0,pa,forward
I,senior,73.0,nj,forward
I,senior,72.0,ny,guard
I,graduate student,76.0,wi,forward
I,senior,73.0,nj,guard
I,freshman,70.0,ct,guard
I,junior,69.0,fl,guard
I,senior,67.0,pa,guard
I,sophomore,70.0,ct,guard
I,senior,73.0,ny,forward
I,senior,67.0,sc,guard
I,graduate student,68.0,ny,guard
I,graduate student,74.0,ny,forward
I,senior,70.0,mo,guard
I,freshman,67.0,ca,guard
I,graduate student,70.0,md,guard
I,sophomore,70.0,international,guard
I,freshman,67.0,ny,guard
I,senior,76.0,ny,forward
I,graduate student,74.0,ca,forward
I,senior,75.0,mi,forward
I,senior,72.0,ny,guard
I,sophomore,69.0,in,guard
I,freshman,71.0,pa,guard
I,junior,69.0,tx,guard
I,junior,65.0,other,guard
I,freshman,68.0,az,guard
I,sophomore,72.0,il,guard
I,junior,73.0,or,guard
I,junior,74.0,tn,guard
I,junior,75.0,international,guard
I,freshman,75.0,pa,forward
I,graduate student,76.0,ma,center
I,sophomore,72.0,mi,guard
I,sophomore,75.0,in,forward
I,junior,76.0,international,center
I,senior,72.0,international,guard
I,sophomore,68.0,va,guard
I,senior,66.0,md,guard
I,sophomore,68.0,md,guard
I,sophomore,70.0,ky,guard
I,sophomore,69.0,md,guard
I,sophomore,74.0,pa,forward
I,freshman,70.0,pa,guard
I,sophomore,72.0,international,forward
I,senior,73.0,md,forward
I,junior,68.0,fl,guard
I,graduate student,69.0,ma,guard
I,senior,73.0,ct,forward
I,junior,76.0,pa,forward
I,graduate student,70.0,md,guard
I,graduate student,70.0,az,guard
I,sophomore,66.0,tx,guard
I,senior,67.0,tx,guard
I,junior,74.0,tx,forward
I,junior,72.0,tx,guard
I,graduate student,70.0,mo,guard
I,freshman,73.0,fl,guard
I,freshman,76.0,tx,forward
I,junior,76.0,international,forward
I,sophomore,67.0,tx,guard
I,sophomore,73.0,ok,forward
I,freshman,74.0,sd,guard
I,junior,77.0,international,center
I,junior,76.0,tx,forward
I,junior,72.0,in,guard
I,senior,67.0,mi,guard
I,sophomore,71.0,international,guard
I,senior,66.0,mi,guard
I,senior,70.0,ne,guard
I,senior,68.0,international,guard
I,senior,69.0,wi,guard
I,junior,71.0,oh,forward
I,junior,69.0,in,guard
I,junior,68.0,mo,guard
I,junior,70.0,oh,guard
I,sophomore,74.0,ny,forward
I,senior,77.0,in,center
I,sophomore,68.0,ga,guard
I,junior,68.0,fl,guard
I,senior,73.0,international,forward
I,junior,63.0,la,guard
I,sophomore,68.0,ga,guard
I,senior,71.0,ga,guard
I,junior,73.0,ar,forward
I,junior,74.0,ms,forward
I,junior,70.0,nc,guard
I,senior,77.0,va,forward
